시군명,온천명,지구지정일자,성분명,온천온도,온천심도,이용시설개소수,온천공보호구역면적,온천보호지구면적,적정양수량,발견신고수리시기,개발계획일자,개발계획면적,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도
가평군,연인산,2006-04-19,Na-HCO3(Cl형),26.4,850,1,39502,,320,2004-11-12,,,12401,경기도 가평군 북면 가화로 1575-16,경기도 가평군 북면 도대리 70-111번지,37.903072,127.502373
고양시,북한산온천 비젠,2021-05-23,Na(Ca)-HCO3,30,800,1,6000,,765,1996-05-28,,,10580,경기도 고양시 덕양구 중고개길 88-10,경기도 고양시 덕양구 지축동 207-1번지,37.659174,126.932896
구리시,-,,-,26.2,470,,,,1700,2021-09-15,,,,,,,
김포시,약암,1989-07-08,"Na, Ca, Li, St 등",28.4,705,0,0,2226000,1318,1987-12-21,1994-10-31,87366,10042,경기도 김포시 대곶면 약암로 874,경기도 김포시 대곶면 약암리 1319번지,37.631965,126.553792
남양주시,수동,2017-09-07,Na-CO3,25.3,532,,2586,,319,2015-03-13,,,12029,,경기도 남양주시 수동면 입석리 531-2번지,37.717932,127.313724
동두천시,탑동,2019-05-23,Na(Ca)-CO3(HCO3),26.7,1000,1,6674,,315,2013-11-27,,,11360,,경기도 동두천시 탑동동 58,37.889777,127.132331
동두천시,생연동,2014-02-27,Na-Cl(HCO3),25.6,1000,1,4618,,480,2013-06-26,,,11313,경기도 동두천시 장고갯로 161-35,경기도 동두천시 생연동 222-3번지,37.908101,127.064779
부천시,웅진풀레이도시㈜,2020-04-07,Na(Ca)-HCO₃,27.1,1300,1,29900,,325,2019-09-17,,,14592,경기도 부천시 원미구 조마루로 2,경기도 부천시 원미구 상동 572-1번지,37.499869,126.744266
수원시,수원온수골,1998-12-31,Na-HCO3,28.1,700,1,17767,,750,1994-07-07,,,16553,경기도 수원시 권선구 동수원로 232,경기도 수원시 권선구 권선동 1296-5번지,37.250255,127.034696
수원시,북수원스파플렉스,2005-03-28,Ca(Na)-HCO3,27.4,700,1,3217,,550,2004-07-12,,,16360,경기도 수원시 장안구 서부로 2139,경기도 수원시 장안구 율전동 285-2번지,37.299451,126.971658
안산시,대부남동 1126-303,,"Ca, Mg, Na, K 등",25.1,1000,,,,305,2020-09-18,,,15647,,경기도 안산시 단원구 대부남동 1126-303,37.2234829,126.5580468
안산시,신길동 1435-4,,"NaCl, SO4, Mg",25.8,655,,,,75,2017-04-06,,,,,경기도 안산시 단원구 신길동 1435-4,37.337311,126.764782
양평군,용문산,1998-11-30,Na-HCO₃,27.3,700,,,288675,1010,1996-06-17,2008-07-29,149000,12510,,경기도 양평군 용문면 신점리 산131,37.538547,127.582551
양평군,양평쉐르빌,2005-01-27,Na-HCO₃,25.7,808,1,9472,,210,1995-07-18,,,12566,경기도 양평군 개군면 신내길7번길 37,경기도 양평군 개군면 공세리 389-2번지,37.468238,127.530851
양평군,양평수입,2021-07-16,Na-HCO₃,25.3,1100,,3784,,318,2016-11-21,,,12500,,경기도 양평군 서종면 수입리 산22-27,37.63586792,127.4158475
여주시,㈜자연촌 여주참숯마을,2014-01-28,Na-HCO₃,35.2,850,1,9683.7,,520,2009-08-31,,,12616,경기도 여주시 강천면 걸촌동길 40,경기도 여주시 강천면 이호리 65-6번지,37.288761,127.699811
여주시,송림리,,Na-HCO₃,29,900,,,,450,2016-07-19,,,,,,,
여주시,상거동,,Na-HCO₃,27.8,1000,,,,320,2021-12-06,,,,,,,
여주시,신해리,,Na-HCO₃,28,750,,,,320,2022-01-06,,,,,,,
여주시,여주,2005-09-16,Ca-HCO₃,26.4,930,1,24332,,194,1995-08-17,,,12616,경기도 여주시 강천면 강문로 864,경기도 여주시 강천면 부평리 411-8번지,37.271178,127.727512
연천군,(가칭)서정,2009-08-12,Ca-SO₄,26.1,697,,9900,,320,2007-11-28,,,11050,경기도 연천군 장남면 장백로330번길 115-52,경기도 연천군 장남면 원당리 341-16번지,37.994808,126.882226
용인시,"용인(백암1, 백암2)",2010-07-08,Na-HCO₃/Na-SO₄,30.9,1000,,,592500,1059,2004-10-14,,,17178,,경기도 용인시 처인구 백암면 백암리 산30-5,37.163617,127.380581
용인시,신봉,2011-03-24,Na-SO₄/Na-HCO₃,29.5,850,,17668,,302,2007-03-02,,,16803,경기도 용인시 수지구 신봉1로 368,경기도 용인시 수지구 신봉동 680-1번지,37.334537,127.049191
용인시,삼가,2015-10-12,Na-HCO₃,26.2,1000,1,7869,,350,2012-12-21,,,17090,경기도 용인시 처인구 지삼로 470-3,경기도 용인시 처인구 삼가동 424-2번지,37.233168,127.156993
용인시,청덕,,Na-HCO₃,27.3,944,,,,325,2008-09-03,,,16984,경기도 용인시 기흥구 언동로71번길 46,경기도 용인시 기흥구 청덕동 416-16번지,37.287641,127.142452
의정부시,장암,1997-10-23,Na-HCO₃,30.2,994,2,0,469825,671,1996-04-10,1997-07-08,,11723,경기도 의정부시 장곡로 22,경기도 의정부시 장암동 135번지,37.707822,127.053133
이천시,"이천(호텔미란다,설봉)",1992-11-06,Na/Ca/HCO3,33.8,481,2,,713000,3265,,2002-01-21,,17372,경기도 이천시 중리천로115번길 45,경기도 이천시 안흥동 408-1번지,37.276391,127.450763
이천시,신갈(테르메덴),1994-07-26,Na/Ca/HCO3,33.8,1006,1,,917707,1889,1993-08-13,2014-05-30,,17406,경기도 이천시 모가면 사실로 988,경기도 이천시 모가면 신갈리 374번지,37.197731,127.446318
이천시,어농,2014-12-29,Ca/HCO3,27.2,900,0,26097,,670,2008-06-12,,,17406,,경기도 이천시 모가면 어농리 산55-1,37.183121,127.427075
파주시,신촌,2017-08-11,Na-HCO3,26.1,905,0,5249,,320,2016-01-26,,,10863,경기도 파주시 소라지로229번길 14,경기도 파주시 송촌동 578-59번지,37.743407,126.691221
평택시,평택,2008-12-30,알칼리성,26,740,,6510,,357,2008-05-02,,,17799,,경기도 평택시 청북읍 후사리 303-75,37.024267,126.944802
평택시,평택,2005-12-22,약알칼리,29.8,830,,39828,,538,2005-03-04,,,17794,경기도 평택시 청북읍 서해로 1961,경기도 평택시 청북읍 고렴리 483번지,37.060966,126.919653
포천시,기산,1998-08-21,Na-CO₃,25.9,750,1,,170464,770,1996-01-17,2007-04-30,84000,11119,경기도 포천시 일동면 화동로888번길 28-3,경기도 포천시 일동면 기산리 568-1번지,37.939402,127.318868
포천시,도마치,2003-09-19,Na-CO₃,27.9,630,,34709,,1310,1997-06-03,,,11110,경기도 포천시 이동면 화동로 2318-68,경기도 포천시 이동면 도평리 272-5번지,38.051731,127.384471
포천시,사직,1993-08-16,Na-HCO₃,36.4,660,,,2844584,6280,1990-11-05,,,11118,경기도 포천시 일동면 화동로1407번길 15,경기도 포천시 일동면 사직리 762번지,37.982767,127.340421
포천시,산정,2000-01-24,Na-HCO₃,25.5,704,1,23087,,1890,1994-08-30,,,11103,경기도 포천시 영북면 산정호수로 402,경기도 포천시 영북면 산정리 454-4번지,38.065386,127.314271
포천시,화대,2004-11-05,Na-HCO₃,33.5,800,1,,3200000,1507,1996-04-12,2018-11-16,3200000,11117,경기도 포천시 일동면 화동로 1210,경기도 포천시 일동면 화대리 662-1번지,37.967591,127.328647
포천시,선단,2017-05-24,Na-CO₃,27.2,800,,8119,,680,2016-07-25,,,11158,경기도 포천시 호국로 1037,경기도 포천시 선단동 101-1번지,37.856928,127.167912
포천시,신북,1992-12-14,Na-HCO₃,25.8,590,1,,744625,2450,1990-02-23,2004-06-21,744625,11137,경기도 포천시 신북면 청신로 571,경기도 포천시 신북면 덕둔리 627-1번지,37.974252,127.104421
화성시,율암,2012-07-11,알칼리성,26.7,684,2,29000,,427,1997-06-13,,,18530,경기도 화성시 팔탄면 온천로 434-14,경기도 화성시 팔탄면 율암리 842-8번지,37.152091,126.882245
화성시,월문,1993-12-02,알칼리성,25,707,1,,856000,1302,1990-04-07,1996-05-23,97236,18577,경기도 화성시 팔탄면 버들로1597번길 5,경기도 화성시 팔탄면 월문리 235-14번지,37.114616,126.876629
화성시,향남힐링스파,2013-07-05,유황,28,800,1,3000,,400,2012-12-13,,,18591,경기도 화성시 향남읍 향남로 430-16,경기도 화성시 향남읍 행정리 472-2번지,37.133042,126.923066
화성시,사강,2004-10-29,알칼리성,25.9,860,,9000,,303,2001-09-17,,,18551,경기도 화성시 송산면 송산로 81-4,경기도 화성시 송산면 사강리 339번지,37.217348,126.727417
화성시,병점,2005-02-05,알칼리성,28.3,959,,1000,,400,2004-06-15,,,18360,경기도 화성시 작현길 25,경기도 화성시 송산동 100-9번지,37.207866,127.017668
화성시,화성,1992-03-11,알칼리성,25.8,700,,,816000,210,1989-07-27,,,18577,,경기도 화성시 팔탄면 덕천리 산51-16,37.145528,126.869388
화성시,㈜화성식염,2005-12-23,염화물,25.7,800,1,,1927000,400,2001-03-16,,,18581,경기도 화성시 장안면 황골길 52,경기도 화성시 장안면 수촌리 25번지,37.093172,126.866611
화성시,하피랜드,2006-07-26,알칼리성,25.8,600,1,27000,,318,2006-07-26,,,18529,경기도 화성시 팔탄면 시청로 888,경기도 화성시 팔탄면 율암리 483-26번지,37.168573,126.888521

